pdf_report_date,airport,category,subcategory,year,count
2023-10,ABE,,,2022,110
2023-10,ABE,Civil Rights,,2022,6
2023-10,ABE,Civil Rights,Civil Rights - Hair Patdowns,2022,2
2023-10,ABE,Civil Rights,Civil Rights - Race,2022,2
2023-10,ABE,Civil Rights,Civil Rights - Racial Profiling or Discrimination,2022,2
2023-10,ABE,Customer Service,,2022,6
2023-10,ABE,Customer Service,Customer Service - Others,2022,1
2023-10,ABE,Customer Service,Customer Service - TSO,2022,5
2023-10,ABE,Expedited Passenger Screening Program,,2022,84
2023-10,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program - TSA Application Prog,2022,5
2023-10,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2022,79
2023-10,ABE,Hazardous Materials Safety,,2022,1
2023-10,ABE,Hazardous Materials Safety,Hazardous Materials Safety - General,2022,1
2023-10,ABE,Patdown,,2022,3
2023-10,ABE,Patdown,Patdown - Flyer,2022,3
2023-10,ABE,Persons w/ Disabilities (PWD),,2022,1
2023-10,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Diabetes,2022,1
2023-10,ABE,Property - Special Handling,,2022,2
2023-10,ABE,Property - Special Handling,Property - Special Handling - Damaged Items - Checked,2022,1
2023-10,ABE,Property - Special Handling,Property - Special Handling - Missing Item,2022,1
2023-10,ABE,Screening,,2022,7
2023-10,ABE,Screening,Screening - Inconsistency,2022,2
2023-10,ABE,Screening,Screening - Procedures/Process,2022,5
2023-10,ABE,,,2023,138
2023-10,ABE,Civil Rights,,2023,1
2023-10,ABE,Civil Rights,Civil Rights - Race,2023,1
2023-10,ABE,Customer Service,,2023,3
2023-10,ABE,Customer Service,Customer Service - TSO,2023,3
2023-10,ABE,Expedited Passenger Screening Program,,2023,122
2023-10,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2023,2
2023-10,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2023,6
2023-10,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2023,114
2023-10,ABE,Mishandling of Passenger Property,,2023,2
2023-10,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missing Items--Carry-on Luggage,2023,1
2023-10,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Disarrayed Items--Carry-on or Checked,2023,1
2023-10,ABE,Patdown,,2023,4
2023-10,ABE,Patdown,Patdown - Flyer,2023,4
2023-10,ABE,Persons w/ Disabilities (PWD),,2023,2
2023-10,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Metal Implants (joint),2023,1
2023-10,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Wheelchair/ Scooter/ Segway,2023,1
2023-10,ABE,Screening,,2023,4
2023-10,ABE,Screening,Screening - Inconsistency,2023,1
2023-10,ABE,Screening,Screening - Procedures/Process,2023,3
2023-10,ABE,,,2024,8
2023-10,ABE,Expedited Passenger Screening Program,,2024,8
2023-10,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2024,8
2023-10,ABI,,,2022,16
2023-10,ABI,Civil Rights,,2022,1
2023-10,ABI,Civil Rights,Civil Rights - Racial Profiling or Discrimination,2022,1
2023-10,ABI,Customer Service,,2022,1
2023-10,ABI,Customer Service,Customer Service - TSO,2022,1
2023-10,ABI,Expedited Passenger Screening Program,,2022,11
2023-10,ABI,Expedited Passenger Screening Program,Expedited Passenger Screening Program - TSA PreCheck,2022,11
2023-10,ABI,Prohibited & Permitted Items,,2022,1
2023-10,ABI,Prohibited & Permitted Items,Prohibited & Permitted Items - Firearm/Ammunition,2022,1
2023-10,ABI,Property - Special Handling,,2022,1
2023-10,ABI,Property - Special Handling,Property - Special Handling - Damaged Items - Checked,2022,1
2023-10,ABI,Screening,,2022,1
2023-10,ABI,Screening,Screening - Inconsistency,2022,1
2023-10,ABI,,,2023,14
2023-10,ABI,Airline,,2023,1
2023-10,ABI,Airline,Airline - Policy/Regulations/Service,2023,1
2023-10,ABI,Customer Service,,2023,1
2023-10,ABI,Customer Service,Customer Service - TSO,2023,1
2023-10,ABI,Expedited Passenger Screening Program,,2023,11
2023-10,ABI,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2023,1
2023-10,ABI,Expedited Passenger Screening Program,Expedited Passenger Screening Program - TSA PreC,2023,10
2023-10,ABI,Patdown,,2023,1
2023-10,ABI,Patdown,Patdown - Flyer,2023,1
2023-10,ABI,,,2024,4
2023-10,ABI,Expedited Passenger Screening Program,,2024,4
2023-10,ABI,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2024,4
2023-10,ABQ,,,2022,497
2023-10,ABQ,Civil Rights,,2022,11
2023-10,ABQ,Civil Rights,Civil Rights - Constitutional Rights,2022,1
2023-10,ABQ,Civil Rights,Civil Rights - National Origin,2022,1
2023-10,ABQ,Civil Rights,Civil Rights - Race,2022,3
2023-10,ABQ,Civil Rights,Civil Rights - Racial Profiling or Discrimination,2022,3
2023-10,ABQ,Civil Rights,Civil Rights - Sex/Gender/Gender Identity- Not Transgender,2022,2
2023-10,ABQ,Civil Rights,Civil Rights - Transgender Screening,2022,1
2023-10,ABQ,Customer Service,,2022,30
2023-10,ABQ,Customer Service,Customer Service - TCC,2022,1
2023-10,ABQ,Customer Service,Customer Service - TSO,2022,29
2023-10,ABQ,Expedited Passenger Screening Program,,2022,371
2023-10,ABQ,Expedited Passenger Screening Program,Expedited Passenger Screening Program - Active Du,2022,1
2023-10,ABQ,Expedited Passenger Screening Program,Expedited Passenger Screening Program - DoD,2022,4
2023-10,ABQ,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2022,22
2023-10,ABQ,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2022,342
2023-10,ABQ,Expedited Passenger Screening Program,Expedited Passenger Screening Program - TSA/DHS Employees - Opt In,2022,2
2023-10,ABQ,Identification (ID) Requirements,,2022,1
2023-10,ABQ,Identification (ID) Requirements,Identification (ID) Requirements - Domest,2022,1
2023-10,ABQ,Locks,,2022,3
2023-10,ABQ,Locks,Locks - General,2022,1
2023-10,ABQ,Locks,Locks - Missing or Damaged Lock,2022,2
2023-10,ABQ,Mishandling of Passenger Property,,2022,16
2023-10,ABQ,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missin,2022,3
2023-10,ABQ,Mishandling of Passenger Property,Mishandling of Passenger Property - Dam,2022,11
2023-10,ABQ,Mishandling of Passenger Property,Mishandling of Passenger Property - Disa,2022,2
2023-10,ABQ,Notice of Violation/Civil Penalties,,2022,1
2023-10,ABQ,Notice of Violation/Civil Penalties,Notice of Violation/Civil Penalties - General,2022,1
2023-10,ABQ,Patdown,,2022,10
2023-10,ABQ,Patdown,Patdown - Children,2022,1
2023-10,ABQ,Patdown,Patdown - Flyer,2022,8
2023-10,ABQ,Patdown,Patdown - Flyer as Observer,2022,1
2023-10,ABQ,Persons w/ Disabilities (PWD),,2022,7
2023-10,ABQ,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Autism Spectrum,2022,1
2023-10,ABQ,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Cognitive /Developmental /Mental Disability,2022,1
2023-10,ABQ,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Diabetes,2022,1
2023-10,ABQ,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Medically,2022,2
2023-10,ABQ,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Mobility Disability (Not Wheelchair or Scooter),2022,1
2023-10,ABQ,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Touch Aversion (pain,2022,1
2023-10,ABQ,Prohibited & Permitted Items,,2022,1
2023-10,ABQ,Prohibited & Permitted Items,Prohibited & Permitted Items - Food/Beverages,2022,1
2023-10,ABQ,Property - Special Handling,,2022,24
2023-10,ABQ,Property - Special Handling,Property - Special Handling - Damaged Ite,2022,9
2023-10,ABQ,Property - Special Handling,Property - Special Handling - Damaged Items - Check,2022,5
2023-10,ABQ,Property - Special Handling,Property - Special Handling - Missing Items - Carry-O,2022,6
2023-10,ABQ,Property - Special Handling,Property - Special Handling - Missing Items - Checke,2022,4
2023-10,ABQ,Screening,,2022,22
2023-10,ABQ,Screening,Screening - Inconsistency,2022,9
2023-10,ABQ,Screening,Screening - Procedures/Process,2022,11
2023-10,ABQ,Screening,Screening - Retrieving Abandoned/Confiscated Items,2022,2
