pdf_report_date,airport,category,subcategory,year,count
2019-11,ABE,,,2016,16
2019-11,ABE,Civil Rights,,2016,1
2019-11,ABE,Civil Rights,Civil Rights - National Origin,2016,1
2019-11,ABE,Customer Service,,2016,1
2019-11,ABE,Customer Service,Customer Service - TSO,2016,1
2019-11,ABE,Identification (ID) Requirements,,2016,1
2019-11,ABE,Identification (ID) Requirements,Identification (ID) Requirements - Domestic,2016,1
2019-11,ABE,Locks,,2016,3
2019-11,ABE,Locks,Locks - Missing or Damaged Lock,2016,3
2019-11,ABE,Mishandling of Passenger Property,,2016,8
2019-11,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missing Items--Carry-on Luggage,2016,1
2019-11,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missing Items--Checked Bag,2016,7
2019-11,ABE,Screening,,2016,2
2019-11,ABE,Screening,Screening - Procedures/Process,2016,2
2019-11,ABE,,,2017,28
2019-11,ABE,Customer Service,,2017,4
2019-11,ABE,Customer Service,Customer Service - Others,2017,1
2019-11,ABE,Customer Service,Customer Service - TSO,2017,3
2019-11,ABE,Locks,,2017,2
2019-11,ABE,Locks,Locks - Missing or Damaged Lock,2017,2
2019-11,ABE,Mishandling of Passenger Property,,2017,18
2019-11,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Dam,2017,16
2019-11,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Disarrayed Items--Carry-on or Checked,2017,2
2019-11,ABE,Patdown,,2017,1
2019-11,ABE,Patdown,Patdown - Flyer,2017,1
2019-11,ABE,Screening,,2017,3
2019-11,ABE,Screening,Screening - Inconsistency,2017,1
2019-11,ABE,Screening,Screening - Procedures/Process,2017,2
2019-11,ABE,,,2018,36
2019-11,ABE,Civil Rights,,2018,1
2019-11,ABE,Civil Rights,Civil Rights - Racial Profiling or Discrimination,2018,1
2019-11,ABE,Customer Service,,2018,6
2019-11,ABE,Customer Service,Customer Service - Others,2018,1
2019-11,ABE,Customer Service,Customer Service - TSO,2018,5
2019-11,ABE,Locks,,2018,3
2019-11,ABE,Locks,Locks - Missing or Damaged Lock,2018,3
2019-11,ABE,Mishandling of Passenger Property,,2018,12
2019-11,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missing Items--Carry-on Luggage,2018,1
2019-11,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missing Items--C,2018,9
2019-11,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Disarrayed Items--Carry-on or Checked,2018,2
2019-11,ABE,Patdown,,2018,3
2019-11,ABE,Patdown,Patdown - Flyer,2018,3
2019-11,ABE,Property - Special Handling,,2018,4
2019-11,ABE,Property - Special Handling,Property - Special Handling - Damaged Items - Check,2018,3
2019-11,ABE,Property - Special Handling,Property - Special Handling - Missing Items - Checked,2018,1
2019-11,ABE,Screening,,2018,7
2019-11,ABE,Screening,Screening - Inconsistency,2018,1
2019-11,ABE,Screening,Screening - Lengthy Lines,2018,1
2019-11,ABE,Screening,Screening - Procedures/Process,2018,5
2019-11,ABE,,,2019,36
2019-11,ABE,Civil Rights,,2019,1
2019-11,ABE,Civil Rights,Civil Rights - Racial Profiling or Discrimination,2019,1
2019-11,ABE,Customer Service,,2019,6
2019-11,ABE,Customer Service,Customer Service - Others,2019,3
2019-11,ABE,Customer Service,Customer Service - TSO,2019,3
2019-11,ABE,Locks,,2019,1
2019-11,ABE,Locks,Locks - Missing or Damaged Lock,2019,1
2019-11,ABE,Mishandling of Passenger Property,,2019,11
2019-11,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missing Items--Carry-on Luggage,2019,1
2019-11,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Dam,2019,7
2019-11,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Dam,2019,1
2019-11,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Disarrayed Item,2019,2
2019-11,ABE,Patdown,,2019,1
2019-11,ABE,Patdown,Patdown - Children,2019,1
2019-11,ABE,Persons w/ Disabilities (PWD),,2019,3
2019-11,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Medically Necessary Medication and Medical Supplies,2019,1
2019-11,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Mobility Disability (Not Wheelchair or Scooter),2019,2
2019-11,ABE,Property - Special Handling,,2019,7
2019-11,ABE,Property - Special Handling,Property - Special Handling - Damaged Items - Checked,2019,2
2019-11,ABE,Property - Special Handling,Property - Special Handling - Missing Items - Carry-On,2019,1
2019-11,ABE,Property - Special Handling,Property - Special Handling - Missing Items - Checke,2019,4
