pdf_report_date,airport,category,subcategory,year,count
2019-02,ABE,,,2015,8
2019-02,ABE,Hazardous Materials Safety,,2015,1
2019-02,ABE,Hazardous Materials Safety,General,2015,1
2019-02,ABE,Mishandling of Passenger Property,,2015,7
2019-02,ABE,Mishandling of Passenger Property,Damaged/Missing Items--Checked Baggage,2015,7
2019-02,ABE,,,2016,22
2019-02,ABE,Civil Rights,,2016,1
2019-02,ABE,Civil Rights,National Origin,2016,1
2019-02,ABE,Customer Service,,2016,1
2019-02,ABE,Customer Service,TSO,2016,1
2019-02,ABE,Identification (ID) Requirements,,2016,1
2019-02,ABE,Identification (ID) Requirements,Domestic,2016,1
2019-02,ABE,Locks,,2016,4
2019-02,ABE,Locks,Missing or Damaged Lock,2016,4
2019-02,ABE,Mishandling of Passenger Property,,2016,12
2019-02,ABE,Mishandling of Passenger Property,Damaged/Missing Items--Carry-on Luggage,2016,2
2019-02,ABE,Mishandling of Passenger Property,Damaged/Missing Items--Checked Baggage,2016,9
2019-02,ABE,Mishandling of Passenger Property,Disarrayed Items--Carry-on or Checked,2016,1
2019-02,ABE,Screening,,2016,3
2019-02,ABE,Screening,Procedures/Process,2016,3
2019-02,ABE,,,2017,28
2019-02,ABE,Customer Service,,2017,4
2019-02,ABE,Customer Service,Others,2017,1
2019-02,ABE,Customer Service,TSO,2017,3
2019-02,ABE,Locks,,2017,2
2019-02,ABE,Locks,Missing or Damaged Lock,2017,2
2019-02,ABE,Mishandling of Passenger Property,,2017,18
2019-02,ABE,Mishandling of Passenger Property,Damaged/Missing Items--Checked Baggage,2017,16
2019-02,ABE,Mishandling of Passenger Property,Disarrayed Items--Carry-on or Checked,2017,2
2019-02,ABE,Patdown,,2017,1
2019-02,ABE,Patdown,Flyer,2017,1
2019-02,ABE,Screening,,2017,3
2019-02,ABE,Screening,Inconsistency,2017,1
2019-02,ABE,Screening,Procedures/Process,2017,2
2019-02,ABE,,,2018,36
2019-02,ABE,Civil Rights,,2018,1
2019-02,ABE,Civil Rights,Racial Profiling or Discrimination,2018,1
2019-02,ABE,Customer Service,,2018,6
2019-02,ABE,Customer Service,Others,2018,1
2019-02,ABE,Customer Service,TSO,2018,5
2019-02,ABE,Locks,,2018,3
2019-02,ABE,Locks,Missing or Damaged Lock,2018,3
2019-02,ABE,Mishandling of Passenger Property,,2018,12
2019-02,ABE,Mishandling of Passenger Property,Damaged/Missing Items--Carry-on Luggage,2018,1
2019-02,ABE,Mishandling of Passenger Property,Damaged/Missing Items--Checked Baggage,2018,9
2019-02,ABE,Mishandling of Passenger Property,Disarrayed Items--Carry-on or Checked,2018,2
2019-02,ABE,Patdown,,2018,3
2019-02,ABE,Patdown,Flyer,2018,3
2019-02,ABE,Property - Special Handling,,2018,4
2019-02,ABE,Property - Special Handling,Damaged Items - Checked,2018,3
2019-02,ABE,Property - Special Handling,Missing Items - Checked,2018,1
2019-02,ABE,Screening,,2018,7
2019-02,ABE,Screening,Inconsistency,2018,1
2019-02,ABE,Screening,Lengthy Lines,2018,1
2019-02,ABE,Screening,Procedures/Process,2018,5
2019-02,ABE,,,2019,9
2019-02,ABE,Customer Service,,2019,2
2019-02,ABE,Customer Service,TSO,2019,2
2019-02,ABE,Mishandling of Passenger Property,,2019,4
2019-02,ABE,Mishandling of Passenger Property,Damaged/Missing Items--Checked Baggage,2019,2
2019-02,ABE,Mishandling of Passenger Property,Damaged/Missing Items--Unspecified Luggage,2019,1
2019-02,ABE,Mishandling of Passenger Property,Disarrayed Items--Carry-on or Checked,2019,1
2019-02,ABE,Property - Special Handling,,2019,1
