pdf_report_date,airport,category,subcategory,year,count
2024-01,ABE,,,2022,110
2024-01,ABE,Civil Rights,,2022,6
2024-01,ABE,Civil Rights,Civil Rights - Hair Patdowns,2022,2
2024-01,ABE,Civil Rights,Civil Rights - Race,2022,2
2024-01,ABE,Civil Rights,Civil Rights - Racial Profiling or Discrimination,2022,2
2024-01,ABE,Customer Service,,2022,6
2024-01,ABE,Customer Service,Customer Service - Others,2022,1
2024-01,ABE,Customer Service,Customer Service - TSO,2022,5
2024-01,ABE,Expedited Passenger Screening Program,,2022,84
2024-01,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program - TSA Application Prog,2022,5
2024-01,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2022,79
2024-01,ABE,Hazardous Materials Safety,,2022,1
2024-01,ABE,Hazardous Materials Safety,Hazardous Materials Safety - General,2022,1
2024-01,ABE,Patdown,,2022,3
2024-01,ABE,Patdown,Patdown - Flyer,2022,3
2024-01,ABE,Persons w/ Disabilities (PWD),,2022,1
2024-01,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Diabetes,2022,1
2024-01,ABE,Property - Special Handling,,2022,2
2024-01,ABE,Property - Special Handling,Property - Special Handling - Damaged Items - Checked,2022,1
2024-01,ABE,Property - Special Handling,Property - Special Handling - Missing Item,2022,1
2024-01,ABE,Screening,,2022,7
2024-01,ABE,Screening,Screening - Inconsistency,2022,2
2024-01,ABE,Screening,Screening - Procedures/Process,2022,5
2024-01,ABE,,,2023,138
2024-01,ABE,Civil Rights,,2023,1
2024-01,ABE,Civil Rights,Civil Rights - Race,2023,1
2024-01,ABE,Customer Service,,2023,3
2024-01,ABE,Customer Service,Customer Service - TSO,2023,3
2024-01,ABE,Expedited Passenger Screening Program,,2023,122
2024-01,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2023,2
2024-01,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2023,6
2024-01,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2023,114
2024-01,ABE,Mishandling of Passenger Property,,2023,2
2024-01,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missing Items--Carry-on Luggage,2023,1
2024-01,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Disarrayed Items--Carry-on or Checked,2023,1
2024-01,ABE,Patdown,,2023,4
2024-01,ABE,Patdown,Patdown - Flyer,2023,4
2024-01,ABE,Persons w/ Disabilities (PWD),,2023,2
2024-01,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Metal Implants (joint),2023,1
2024-01,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Wheelchair/ Scooter/ Segway,2023,1
2024-01,ABE,Screening,,2023,4
2024-01,ABE,Screening,Screening - Inconsistency,2023,1
2024-01,ABE,Screening,Screening - Procedures/Process,2023,3
2024-01,ABE,,,2024,45
2024-01,ABE,Customer Service,,2024,4
2024-01,ABE,Customer Service,Customer Service - TSO,2024,4
2024-01,ABE,Expedited Passenger Screening Program,,2024,36
2024-01,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program - TSA Application Program,2024,1
2024-01,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2024,35
2024-01,ABE,Patdown,,2024,2
2024-01,ABE,Patdown,Patdown - Flyer,2024,2
2024-01,ABE,Persons w/ Disabilities (PWD),,2024,1
2024-01,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Mobility Disability (No,2024,1
2024-01,ABE,Screening,,2024,2
2024-01,ABE,Screening,Screening - Procedures/Process,2024,2
2024-01,ABI,,,2022,16
2024-01,ABI,Civil Rights,,2022,1
2024-01,ABI,Civil Rights,Civil Rights - Racial Profiling or Discrimination,2022,1
2024-01,ABI,Customer Service,,2022,1
2024-01,ABI,Customer Service,Customer Service - TSO,2022,1
2024-01,ABI,Expedited Passenger Screening Program,,2022,11
2024-01,ABI,Expedited Passenger Screening Program,Expedited Passenger Screening Program - TSA PreCheck,2022,11
2024-01,ABI,Prohibited & Permitted Items,,2022,1
2024-01,ABI,Prohibited & Permitted Items,Prohibited & Permitted Items - Firearm/Ammunition,2022,1
2024-01,ABI,Property - Special Handling,,2022,1
2024-01,ABI,Property - Special Handling,Property - Special Handling - Damaged Items - Checked,2022,1
2024-01,ABI,Screening,,2022,1
2024-01,ABI,Screening,Screening - Inconsistency,2022,1
2024-01,ABI,,,2023,14
2024-01,ABI,Airline,,2023,1
2024-01,ABI,Airline,Airline - Policy/Regulations/Service,2023,1
2024-01,ABI,Customer Service,,2023,1
2024-01,ABI,Customer Service,Customer Service - TSO,2023,1
2024-01,ABI,Expedited Passenger Screening Program,,2023,11
2024-01,ABI,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2023,1
