pdf_report_date,airport,category,subcategory,year,count
2023-05,ABE,,,2020,13
2023-05,ABE,Civil Rights,,2020,1
2023-05,ABE,Civil Rights,Civil Rights - Racial Profiling or Discrimination,2020,1
2023-05,ABE,Customer Service,,2020,2
2023-05,ABE,Customer Service,Customer Service - TSO,2020,2
2023-05,ABE,Locks,,2020,1
2023-05,ABE,Locks,Locks - Missing or Damaged Lock,2020,1
2023-05,ABE,Mishandling of Passenger Property,,2020,3
2023-05,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missing Items--Checked Bag,2020,3
2023-05,ABE,Property - Special Handling,,2020,2
2023-05,ABE,Property - Special Handling,Property - Special Handling - Damaged Items - Checked,2020,1
2023-05,ABE,Property - Special Handling,Property - Special Handling - Missing Items - Carry-On,2020,1
2023-05,ABE,Screening,,2020,4
2023-05,ABE,Screening,Screening - Procedures/Process,2020,4
2023-05,ABE,,,2021,18
2023-05,ABE,Customer Service,,2021,1
2023-05,ABE,Customer Service,Customer Service - TSO,2021,1
2023-05,ABE,Expedited Passenger Screening Program,,2021,5
2023-05,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program - TSA PreCheck,2021,5
2023-05,ABE,Mishandling of Passenger Property,,2021,3
2023-05,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Damaged/Missin,2021,2
2023-05,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Disarrayed Items--Carry-on or Checked,2021,1
2023-05,ABE,Patdown,,2021,1
2023-05,ABE,Patdown,Patdown - Flyer,2021,1
2023-05,ABE,Persons w/ Disabilities (PWD),,2021,2
2023-05,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Medical Devices - Attached to the Body,2021,1
2023-05,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Medically Necessary Medication and Medical Supplies,2021,1
2023-05,ABE,Property - Special Handling,,2021,2
2023-05,ABE,Property - Special Handling,Property - Special Handling - Damaged Items - Checked,2021,2
2023-05,ABE,Screening,,2021,4
2023-05,ABE,Screening,Screening - Lengthy Lines,2021,2
2023-05,ABE,Screening,Screening - Procedures/Process,2021,2
2023-05,ABE,,,2022,110
2023-05,ABE,Civil Rights,,2022,6
2023-05,ABE,Civil Rights,Civil Rights - Hair Patdowns,2022,2
2023-05,ABE,Civil Rights,Civil Rights - Race,2022,2
2023-05,ABE,Civil Rights,Civil Rights - Racial Profiling or Discrimination,2022,2
2023-05,ABE,Customer Service,,2022,6
2023-05,ABE,Customer Service,Customer Service - Others,2022,1
2023-05,ABE,Customer Service,Customer Service - TSO,2022,5
2023-05,ABE,Expedited Passenger Screening Program,,2022,84
2023-05,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program - TSA Application Prog,2022,5
2023-05,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2022,79
2023-05,ABE,Hazardous Materials Safety,,2022,1
2023-05,ABE,Hazardous Materials Safety,Hazardous Materials Safety - General,2022,1
2023-05,ABE,Patdown,,2022,3
2023-05,ABE,Patdown,Patdown - Flyer,2022,3
2023-05,ABE,Persons w/ Disabilities (PWD),,2022,1
2023-05,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Diabetes,2022,1
2023-05,ABE,Property - Special Handling,,2022,2
2023-05,ABE,Property - Special Handling,Property - Special Handling - Damaged Items - Checked,2022,1
2023-05,ABE,Property - Special Handling,Property - Special Handling - Missing Item,2022,1
2023-05,ABE,Screening,,2022,7
2023-05,ABE,Screening,Screening - Inconsistency,2022,2
2023-05,ABE,Screening,Screening - Procedures/Process,2022,5
2023-05,ABE,,,2023,97
2023-05,ABE,Civil Rights,,2023,1
2023-05,ABE,Civil Rights,Civil Rights - Race,2023,1
2023-05,ABE,Customer Service,,2023,1
2023-05,ABE,Customer Service,Customer Service - TSO,2023,1
2023-05,ABE,Expedited Passenger Screening Program,,2023,89
2023-05,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2023,1
2023-05,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2023,5
2023-05,ABE,Expedited Passenger Screening Program,Expedited Passenger Screening Program,2023,83
2023-05,ABE,Mishandling of Passenger Property,,2023,1
2023-05,ABE,Mishandling of Passenger Property,Mishandling of Passenger Property - Disarrayed Items--Carry-on or Checked,2023,1
2023-05,ABE,Patdown,,2023,2
2023-05,ABE,Patdown,Patdown - Flyer,2023,2
2023-05,ABE,Persons w/ Disabilities (PWD),,2023,1
2023-05,ABE,Persons w/ Disabilities (PWD),Persons w/ Disabilities (PWD) - Wheelchair/ Scooter/ Segway,2023,1
2023-05,ABE,Screening,,2023,2
2023-05,ABE,Screening,Screening - Procedures/Process,2023,2
2023-05,ABI,,,2020,6
2023-05,ABI,Customer Service,,2020,3
2023-05,ABI,Customer Service,Customer Service - TSO,2020,3
2023-05,ABI,Notice of Violation/Civil Penalties,,2020,1
2023-05,ABI,Notice of Violation/Civil Penalties,Notice of Violation/Civil Penalties - General,2020,1
